id,node_type,leiden_comm
16af57bf06ebcba08fb50fd0582df93cab5ada89,reference,18
7afaabb73bec969c0937be46b9f0f757e07c8534,reference,5
a538b05ebb01a40323997629e171c91aa28b8e2f,reference,31
942deb7d865b7782c03176d95e3a0d56cb71009e,reference,25
13d12b26db345f62e8e512db181b96a7f8763b47,reference,3
62b4e06f5249d22e4a153ec4a2dc934c6a014372,reference,1
bcbc6fe16b36fc8cbc28967c96039cbec4325875,reference,34
afd110eace912c2b273e64851c6b4df2658622eb,reference,21
fb08b08916caab4b22c60fa96753f6b9a5886d75,reference,13
19ac2750cd1e02362f25fc2bdd88110fa127db34,reference,5
c51764fef5909d3a8bb58a179961989e9652fe83,reference,5
40eb437448136ac44d1e351373f7d44e3a303eca,reference,13
04b23f577c20d1a0e2a67aadda555f58e6d23d6e,reference,18
ba14fb3d369cd7e30233bba24b0757f6ee62f5bc,reference,9
ae8c317961f2b72266ab343c78cbd1100f6173f6,reference,26
39a620939887c9fc1f9bdd7ecfabde985a4aad3a,reference,11
d8e8740f34bf79a7333ef758ecb087b520f61e60,reference,10
4c2668b3ae22fa592716480ec56012775b139f52,reference,31
a7753486920651e24e6a77abbbfee28fc2b2e76e,reference,15
9a52c442f5ffb9429f76723f0a1fa5b33ff76710,reference,31
c2f91f35df893714418cc29096083dce0b441229,reference,7
5d44f16a36ba7ae6b3d9d7c98bbc1b877e598f35,reference,21
f92932b549cb38ea1d389376e99896aea5f3d3c5,reference,27
ba82f8aa4526c326dc0e82e7443a017a409b865a,reference,16
f4ba954b0412773d047dc41231c733de0c1f4926,reference,18
fb5c11bbf63884f75d2da615fbf37a3bcfa2bd20,reference,27
9939d9b4549c04cbfbdc636ce1c88d6647c8e108,reference,0
e03dc5bd72bea7d1db03de380d4c43b7e610fbee,reference,15
e5c72b92c48d68594b290c84a8904da7c8335554,reference,27
1e0d21dc2caf7b58342ddc8609fb30cdc1e27cd5,reference,25
48b96fbd96e3fd3271a40e7cce709ce796f35d03,reference,24
88afeaf0a4208477e845170daa8a189cc0a13a73,reference,7
39a55ddebfa32821685eca7e9f6c7796d2d051d0,reference,27
68027f0393606fc5c71251ca2136809cef2a8ff8,reference,36
04ec406caebff60e226695c921f0af1b29162c5f,reference,20
2c07bffd89cfa70d855da4e9c3f738540cd8d106,reference,7
88bb0a28bb58d847183ec505dda89b63771bb495,reference,11
15dff25a59e0953ae732917c25ba99866eddaf5e,reference,9
e50ba7ccc739e88a790b77fb6c365c1f9b4495fa,reference,18
e7106a7ac5eb3ecd51a3245d9cd7e6ad73cb8f29,reference,19
cfb7948c8a09d0a64afecceb7efe3362318dbe17,reference,26
arXiv:2306.08568,reference,1
e235ad7dcf6e97cd372f09724dc947c5b1efac79,reference,20
09cd7876b72d6105c83db59052572433a0a2b36c,reference,7
7d095da0c35b9f1831cf9ee1648c39ee37bc5ae8,reference,10
4601d2d503848bf999bf99c82ee244e84deea27c,reference,19
4309d572a37d655779f9dce6a2c98c66334132de,reference,3
6b3062b7e2f0bb4f85527ede6f294946fc035639,reference,5
27a6a9310b77bbcf9d9669542a93a8a4926d28fc,reference,31
86ea824697cd70b1a6b6a301107ad38a38f09605,reference,10
9e3c493fb09dcd61bb05e8c5659f23327b7b6340,reference,27
48332b6ba7ac6124a1512355323ad46649458915,reference,30
0fb8e89e34f00365a56c3e67f7e862fdcf935f2c,reference,11
292da1c4640c105aa5d7919a1ded9a1225c07d4d,reference,21
82e14d316f8e21b883a6a580f29c9953e6ce1886,reference,19
0b483b550b21ec42d693fc04a372dbb10dd07019,reference,24
e5d143ae82ede67726aa1a9aeac3de4bf53d8920,reference,23
b90a914e15b53cc902df84809fcdcf40b8fa6339,reference,19
1b0e3360b3341fc411a6c7841173a8d78ac2ab43,reference,24
690df0820f35a47e1ce44f90e6ddb4132aa09267,reference,10
1be5a2186f0d4f4046f45a8b1703eb65dea8ba79,reference,24
3ef14b5d72a802267a35beefc2e6f67b0d8a0805,reference,6
04f4e55e14150b7c48b0287ba77c7443df76ed45,reference,7
7ac673e51c89a3658496bb0e22572f58650f23d5,reference,5
6dfc2ff03534a4325d06c6f88c3144831996629b,reference,3
f65da9478926aff391991022aada95e08742fd91,reference,15
0ea7fc93d4947d9024ccaa202987a2070683bc1f,reference,15
29ddc1f43f28af7c846515e32cc167bc66886d0c,reference,22
cb29cf52f0f7d2e4324c68690a55b22890f2212d,reference,7
b2fe504e9f15de9438d22e7b632e81e57bfbbc06,reference,5
68e63d7210a9191cd79412af3cca5dd858ab52ca,reference,5
9ebce30da5743f37d5b6378ed6c0d8231b114d7e,reference,10
e4eba5996d9618b9511b4598797161d00c8aee3b,reference,30
1524b7ff78755a3445d22400a8d6c75ba8c0cd65,reference,3
c9dff8253b2e776abf363d0a4836abcaf64ee327,reference,25
179374a65e7abd6b6fb7d316a4666fd99919d9da,reference,22
3dfed62c61f650eb114f0f0aa26b4e7d37b963a6,reference,13
